Site ID,Site Name,address,city,State,Postal Code,Service Region,Service Date,Disposal Date,Line of Business,Disposal Location,Manifest #,Charge Code,Material,Charge Qty,Weight (lbs),Makaya helper,Volume (gal),Material Class,Cost,Lbs per Gal,lbs per 43gal,,
3001191305,USC Health System - HC 1 & HC 2,1510 San Pablo St,Los Angeles,CA,90033,Southern California,9/6/2024,,Hazardous Waste,Stericycle,CE05719601,MinAvgWgt-1-RAPICIDE PART A,Hazardous Waste,1,32,1,0,Hazardous Waste,0,#DIV/0!,32,,
3001191305,USC Health System - HC 1 & HC 2,1510 San Pablo St,Los Angeles,CA,90033,Southern California,9/6/2024,,Hazardous Waste,Stericycle,CE05719601,2-RAPICIDE PART B,Hazardous Waste,1,31,1,0,Hazardous Waste,0,#DIV/0!,31,,
3001191305,USC Health System - HC 1 & HC 2,1510 San Pablo St,Los Angeles,CA,90033,Southern California,9/13/2024,,Hazardous Waste,Stericycle,CE05724492,2-RAPICIDE PART B,Hazardous Waste,1,30,1,0,Hazardous Waste,0,#DIV/0!,30,,
3001191305,USC Health System - HC 1 & HC 2,1510 San Pablo St,Los Angeles,CA,90033,Southern California,9/13/2024,,Hazardous Waste,Stericycle,CE05724492,MinAvgWgt-1-RAPICIDE PART A,,1,33,1,0,Hazardous Waste,0,#DIV/0!,33,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,10/18/2024,,Hazardous Waste,Mediwaste Disposal,,5 Gal Haz (Non-RCRA),Hazardous Waste,1,,1,5,Hazardous Waste,0,5.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,10/24/2024,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Tissue in Formalin),Hazardous Waste,6,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,10/25/2024,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Corrosive),Hazardous Waste,3,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,10/25/2024,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Flammable),Hazardous Waste,3,,1,55,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,11/1/2024,,Hazardous Waste,Mediwaste Disposal,,15 Gal Haz (Flammable),Hazardous Waste,1,,1,15,Hazardous Waste,0,0.00,0,,
206201001,USC Health System - Keck Hospital of USC,1500 San Pablo St,Los Angeles,CA,90033,Southern California,11/5/2024,,Hazardous Waste,Mediwaste Disposal,,55 Gal Haz (Tissue in Formalin),Hazardous Waste,4,,1,55,Hazardous Waste,0,0.00,0,,
